datetime,site,category,title,summary,link
2025-11-19 04:42:23,NHK,主要ニュース,大分市大規模火災 1人が心肺停止の状態で見つかる,大分県の災害対策本部は、大分市で発生した大規模な火災の現場で、19日正午すぎ、1人が心肺停止の状態で見つかったと発表しました。警察によりますと、行方不明となっている76歳の男性を捜索していた警察官が見つけたということで、年齢や性別は分かっておらず、身元の確認を進めています。,http://www3.nhk.or.jp/news/html/20251119/k10014980291000.html
2025-11-19 04:10:00,ITmedia,総合,[ITmedia News] 「2019年以来で最悪の障害」──クラウドフレアのCEOが原因と経緯を説明,米Cloudflareのマシュー・プリンスCEOは18日（現地時間）に発生した障害について経緯と原因を説明した。,https://www.itmedia.co.jp/news/articles/2511/19/news095.html
2025-11-19 04:03:51,NHK,主要ニュース,「レイバン」など価格不当拘束か 公取委が立ち入り検査,人気のサングラスブランド「レイバン」などの商品を販売する企業の日本法人が、小売店に安売りをしないことなどを求め、販売価格を不当に拘束した疑いがあるとして、公正取引委員会は19日午前、立ち入り検査に入りました。,http://www3.nhk.or.jp/news/html/20251119/k10014980481000.html
2025-11-19 04:01:00,ITmedia,総合,[ITmedia PC USER] エレコム、PCバッグ“ZEROSHOCK”にバックパック／メッセンジャーバッグを追加,エレコムは、同社製PCバッグ「ZEROSHOCK」シリーズにバックパック2サイズとメッセンジャーバッグの計3製品を追加した。,https://www.itmedia.co.jp/pcuser/articles/2511/19/news093.html
2025-11-19 03:46:21,NHK,主要ニュース,自民 小林政調会長 児童手当2万円上乗せの方向で政府と調整へ,政府の新たな経済対策をめぐり、自民党の小林政務調査会長は、子育て世帯への物価高対策として、児童手当に、子ども1人あたり2万円を上乗せして支給する方向で政府と調整を進める考えを示しました。,http://www3.nhk.or.jp/news/html/20251119/k10014980571000.html
2025-11-19 03:45:54,NHK,主要ニュース,中国 国連大使“日本は安保理常任理事国入り求める資格なし”,中国の国連大使は国連総会の会合で、高市総理大臣のいわゆる「台湾有事」をめぐる国会答弁を非難し、日本ついて「安全保障理事会の常任理事国入りを求める資格はない」などと主張しました。,http://www3.nhk.or.jp/news/html/20251119/k10014980551000.html
2025-11-19 03:39:44,NHK,主要ニュース,「シャインマスカット」の苗 無許可で販売か 出品者を書類送検,国の研究機関が開発したぶどうの高級品種「シャインマスカット」の苗をフリマサイトで無許可で出品し販売したとして、54歳の出品者が、種苗法違反の疑いで書類送検されました。,http://www3.nhk.or.jp/news/html/20251119/k10014980501000.html
2025-11-19 03:37:18,NHK,主要ニュース,木原官房長官 “中国側の主張に反論 政府の一貫した立場説明”,高市総理大臣のいわゆる「台湾有事」をめぐる国会答弁に中国が反発を強める中、18日に行われた日中の外務省の局長協議について木原官房長官は、中国側の主張に反論した上で、日本政府の一貫した立場を説明したと明らかにしました。,http://www3.nhk.or.jp/news/html/20251119/k10014980561000.html
2025-11-19 03:26:00,ITmedia,総合,[ITmedia News] Zoomで障害　Web会議つながりにくく,11月19日正午ごろから、Zoomで障害が発生しており、Web会議機能が利用しにくくなっている。,https://www.itmedia.co.jp/news/articles/2511/19/news088.html
2025-11-19 03:04:11,NHK,主要ニュース,広島 かき大量死 夏の猛暑と少雨が影響か 農相が現地視察,広島県では先月から特産の養殖のかきの水揚げが始まっていますが、広島県の中部などの沿岸で大量に死ぬケースが相次いでいることが分かりました。鈴木農林水産大臣は19日、現地を視察し、原因の究明を急ぐとともに養殖業者の経営支援に全力で取り組むと強調しました。,http://www3.nhk.or.jp/news/html/20251119/k10014980401000.html
2025-11-19 03:02:00,ITmedia,総合,[ITmedia PC USER] ダイヤテック、「カレンダーキーキャップ」2026年度版の販売を開始,ダイヤテックは、2026年度のカレンダーを刻印したキーキャップセット「FILCO Calendar Keycap Set 2026」を発売する。,https://www.itmedia.co.jp/pcuser/articles/2511/19/news087.html
2025-11-19 03:00:00,ITmedia,総合,[ITmedia PC USER] 1ドライブで大容量の30TB！　個人でも買えるNAS向けHDD「IronWolf Pro」を試す,日本シーゲートのNAS向けHDD「IronWolf Pro」シリーズに属する「ST30000NT011」は、容量30TBの大容量モデルだ。NASだけでなくPCでの利用も想定してテストしてみた。,https://www.itmedia.co.jp/pcuser/articles/2511/19/news064.html
2025-11-19 03:00:00,ITmedia,総合,[ITmedia ビジネスオンライン] 「ホロライブ」「にじさんじ」の運営会社、時価総額の差4倍に　決算で見えた“属人性リスク”,Vtuber事務所の両雄が、なぜこれほどまでに差が開いてしまったのか。,https://www.itmedia.co.jp/business/articles/2511/19/news027.html
2025-11-19 02:30:00,ITmedia,総合,[ITmedia ビジネスオンライン] 「プロと触れ合う」体験を提供　ドコモが“意外なファン戦略”に投資した真意,NTTドコモが、次なる「ファン作り」のフェーズへとかじを切っている。子どもたちがプロの世界を体験できる機会を創出し、学びや夢を見つけてもらう「ドコモ未来フィールド」を開催。あえて「すぐには利益につながらない」投資を加速させる狙いはどこにあるのか？,https://www.itmedia.co.jp/business/articles/2511/19/news055.html
2025-11-19 02:23:00,ITmedia,総合,[ITmedia News] NTT、2030年光量子コンピューター実用化へ　スタートアップと連携協定,NTTは11月18日、膨大かつ高速な計算ができる「光量子コンピューター」の実用化を2030年までに目指すと発表した。開発に取り組むスタートアップ、OptQC（オプトキューシー、東京都豊島区）との連携協定を締結。通信分野で長年研究開発してきた光技術を生かし、拡張性と信頼性に優れた光量子コンピューターを実現する。,https://www.itmedia.co.jp/news/articles/2511/19/news082.html
2025-11-19 02:11:00,ITmedia,総合,[ITmedia News] スパコン世界ランク「富岳」は7位で変わらず　ドイツが米国以外で初のエクサ級に到達,スーパーコンピューターの計算速度を競う世界ランキング「TOP500」が11月18日、発表され、理化学研究所と富士通が共同開発した「富岳」（神戸市）は今年6月の前回発表と同じ7位だった。,https://www.itmedia.co.jp/news/articles/2511/19/news079.html
2025-11-19 02:09:00,ITmedia,総合,[ITmedia エグゼクティブ] ガンダムのSF技術を宇宙開発に、4年間の研究成果を披露　バンダイナムコ研究所,バンダイナムコグループのバンダイナムコ研究所は18日、人気アニメ「機動戦士ガンダム」シリーズの世界観から着想を得た科学技術を実社会で活用しようとするプログラム「ガンダム　オープン　イノベーション」の成果を発表するイベントを日本科学未来館で開催した。,https://mag.executive.itmedia.co.jp/executive/articles/2511/19/news080.html
2025-11-19 02:00:00,ITmedia,総合,[ITmedia News] 映像の総合展「Inter BEE 2025」開幕　国内外から1079社・団体が参加,電子情報技術産業協会（JEITA）は11月19日、映像にまつわる総合展示会「Inter BEE 2025」を幕張メッセ（千葉県千葉市）にて開幕した。国内外の映像機器メーカーが集結するほか、カンファレンスとして100以上のセッションが予定されている。会期は21日まで。,https://www.itmedia.co.jp/news/articles/2511/19/news081.html
